sample_id,campaign,alpha,width,checkpoint_id,parent_sample_id,n_blocks,total_bar_length,qr_failures,converged,mean_gamma,relative_gamma_error
TM-A68-M08-R1,B,0.68,8,cp1,,12,60000,0,True,0.20575837375111997,0.009
TM-A68-M08-R2,C,0.68,8,cp2,,12,60000,0,True,0.20638757167409097,0.01
TM-A68-M08-R3,A,0.68,8,cp3,,12,60000,0,True,0.2057870702703735,0.011
TM-A68-M08-R4,B,0.68,8,cp4,,12,60000,0,True,0.2068875905874861,0.012
TM-A68-M08-R5,C,0.68,8,cp5,,12,60000,0,True,0.20642656033678575,0.013
TM-A68-M08-DUP,C,0.68,8,restart,TM-A68-M08-R0,12,60000,0,True,0.2048408620133949,0.008
TM-A68-M10-R0,A,0.68,10,cp0,,12,60000,0,True,0.16670447661475846,0.008
TM-A68-M10-R1,B,0.68,10,cp1,,12,60000,0,True,0.16797645625146404,0.009
TM-A68-M10-R2,C,0.68,10,cp2,,12,60000,0,True,0.16758040575972494,0.01
TM-A68-M10-R3,A,0.68,10,cp3,,12,60000,0,True,0.16773222173795171,0.011
TM-A68-M10-R4,B,0.68,10,cp4,,12,60000,0,True,0.16808135621960144,0.012
TM-A68-M10-R5,C,0.68,10,cp5,,12,60000,0,True,0.16685226994105584,0.013
TM-A68-M12-R0,A,0.68,12,cp0,,12,60000,0,True,0.1421099963349323,0.008
TM-A68-M12-R1,B,0.68,12,cp1,,12,60000,0,True,0.14244660274402235,0.009
TM-A68-M12-R2,C,0.68,12,cp2,,12,60000,0,True,0.14198606560498375,0.01
TM-A68-M12-R3,A,0.68,12,cp3,,12,60000,0,True,0.14253264299745594,0.011
TM-A68-M12-R4,B,0.68,12,cp4,,12,60000,0,True,0.14142924510886346,0.012
TM-A68-M12-R5,C,0.68,12,cp5,,12,60000,0,True,0.14172270006979762,0.013
TM-A68-M14-R0,A,0.68,14,cp0,,12,60000,0,True,0.12220803994007562,0.008
TM-A68-M14-R1,B,0.68,14,cp1,,12,60000,0,True,0.12216059853443158,0.009
TM-A68-M14-R2,C,0.68,14,cp2,,12,60000,0,True,0.12246476937917997,0.01
TM-A68-M14-R3,A,0.68,14,cp3,,12,60000,0,True,0.12415264443334163,0.011
TM-A68-M14-R4,B,0.68,14,cp4,,12,60000,0,True,0.12195955828395061,0.012
TM-A68-M14-R5,C,0.68,14,cp5,,12,60000,0,True,0.12244917577782022,0.013
TM-A68-M14-BAD,B,0.68,14,failed,,5,25000,1,False,0.11524921719486313,0.14
TM-A72-M06-R0,A,0.72,6,cp0,,12,60000,0,True,0.25903944570195797,0.008
TM-A72-M06-R1,B,0.72,6,cp1,,12,60000,0,True,0.2565035588747907,0.009
TM-A72-M06-R2,C,0.72,6,cp2,,12,60000,0,True,0.25812586835723317,0.01
TM-A72-M06-R3,A,0.72,6,cp3,,12,60000,0,True,0.2574000976901103,0.011
TM-A72-M06-R4,B,0.72,6,cp4,,12,60000,0,True,0.2575322694125353,0.012
TM-A72-M06-R5,C,0.72,6,cp5,,12,60000,0,True,0.2579966915152123,0.013
TM-A72-M08-R0,A,0.72,8,cp0,,12,60000,0,True,0.1951667982764724,0.008
TM-A72-M08-R1,B,0.72,8,cp1,,12,60000,0,True,0.19442085855711436,0.009
TM-A72-M08-R2,C,0.72,8,cp2,,12,60000,0,True,0.1946006280903909,0.01
TM-A72-M08-R3,A,0.72,8,cp3,,12,60000,0,True,0.1962545517865807,0.011
TM-A72-M08-R4,B,0.72,8,cp4,,12,60000,0,True,0.1949827827957317,0.012
TM-A72-M08-R5,C,0.72,8,cp5,,12,60000,0,True,0.19476310589394719,0.013
TM-A72-M08-DUP,C,0.72,8,restart,TM-A72-M08-R0,12,60000,0,True,0.1951667982764724,0.008
TM-A72-M10-R0,A,0.72,10,cp0,,12,60000,0,True,0.15730973203259227,0.008
TM-A72-M10-R1,B,0.72,10,cp1,,12,60000,0,True,0.15844838096478922,0.009
TM-A72-M10-R2,C,0.72,10,cp2,,12,60000,0,True,0.15716081844903054,0.01
TM-A72-M10-R3,A,0.72,10,cp3,,12,60000,0,True,0.15715296128240286,0.011
TM-A72-M10-R4,B,0.72,10,cp4,,12,60000,0,True,0.15631932030667398,0.012
TM-A72-M10-R5,C,0.72,10,cp5,,12,60000,0,True,0.15650362555300695,0.013
TM-A72-M12-R0,A,0.72,12,cp0,,12,60000,0,True,0.1314429159403639,0.008
TM-A72-M12-R1,B,0.72,12,cp1,,12,60000,0,True,0.1314479775168354,0.009
TM-A72-M12-R2,C,0.72,12,cp2,,12,60000,0,True,0.1331551542514613,0.01
TM-A72-M12-R3,A,0.72,12,cp3,,12,60000,0,True,0.1319038148014382,0.011
TM-A72-M12-R4,B,0.72,12,cp4,,12,60000,0,True,0.13023509175410922,0.012
TM-A72-M12-R5,C,0.72,12,cp5,,12,60000,0,True,0.1316751619325709,0.013
TM-A72-M14-R0,A,0.72,14,cp0,,12,60000,0,True,0.11302566828175799,0.008
TM-A72-M14-R1,B,0.72,14,cp1,,12,60000,0,True,0.11296081558736253,0.009
TM-A72-M14-R2,C,0.72,14,cp2,,12,60000,0,True,0.11428554685977503,0.01
TM-A72-M14-R3,A,0.72,14,cp3,,12,60000,0,True,0.11365106600100847,0.011
TM-A72-M14-R4,B,0.72,14,cp4,,12,60000,0,True,0.11323803266636907,0.012
TM-A72-M14-R5,C,0.72,14,cp5,,12,60000,0,True,0.11319056554319347,0.013
TM-A72-M14-BAD,B,0.72,14,failed,,5,25000,1,False,0.10638297872340426,0.14
TM-A76-M06-R0,A,0.76,6,cp0,,12,60000,0,True,0.2454556681853538,0.008
TM-A76-M06-R1,B,0.76,6,cp1,,12,60000,0,True,0.24555510867707503,0.009
TM-A76-M06-R2,C,0.76,6,cp2,,12,60000,0,True,0.24769217074270322,0.01
TM-A76-M06-R3,A,0.76,6,cp3,,12,60000,0,True,0.2469089069746828,0.011
TM-A76-M06-R4,B,0.76,6,cp4,,12,60000,0,True,0.24706213865929086,0.012
TM-A76-M06-R5,C,0.76,6,cp5,,12,60000,0,True,0.2477912354652351,0.013
TM-A76-M08-R0,A,0.76,8,cp0,,12,60000,0,True,0.1855669426967799,0.008
TM-A76-M08-R1,B,0.76,8,cp1,,12,60000,0,True,0.18529243673994014,0.009
TM-A76-M08-R2,C,0.76,8,cp2,,12,60000,0,True,0.18501799021793144,0.01
TM-A76-M08-R3,A,0.76,8,cp3,,12,60000,0,True,0.18643803580898619,0.011
TM-A76-M08-R4,B,0.76,8,cp4,,12,60000,0,True,0.1838941511102552,0.012
TM-A76-M08-R5,C,0.76,8,cp5,,12,60000,0,True,0.18530041586554702,0.013
TM-A76-M08-DUP,C,0.76,8,restart,TM-A76-M08-R0,12,60000,0,True,0.1855669426967799,0.008
TM-A76-M10-R0,A,0.76,10,cp0,,12,60000,0,True,0.14557843099513224,0.008
TM-A76-M10-R1,B,0.76,10,cp1,,12,60000,0,True,0.14761310134420233,0.009
TM-A76-M10-R2,C,0.76,10,cp2,,12,60000,0,True,0.14829291434394928,0.01
TM-A76-M10-R3,A,0.76,10,cp3,,12,60000,0,True,0.14723547695584413,0.011
TM-A76-M10-R4,B,0.76,10,cp4,,12,60000,0,True,0.14810772224852922,0.012
TM-A76-M10-R5,C,0.76,10,cp5,,12,60000,0,True,0.14660685604987458,0.013
TM-A76-M12-R0,A,0.76,12,cp0,,12,60000,0,True,0.12247509615951327,0.008
TM-A76-M12-R1,B,0.76,12,cp1,,12,60000,0,True,0.12221223274414782,0.009
TM-A76-M12-R2,C,0.76,12,cp2,,12,60000,0,True,0.12294928910009945,0.01
TM-A76-M12-R3,A,0.76,12,cp3,,12,60000,0,True,0.12297013476526279,0.011
TM-A76-M12-R4,B,0.76,12,cp4,,12,60000,0,True,0.12237168050179714,0.012
TM-A76-M12-R5,C,0.76,12,cp5,,12,60000,0,True,0.12285910343554743,0.013
TM-A76-M14-R0,A,0.76,14,cp0,,12,60000,0,True,0.1043775715005561,0.008
TM-A76-M14-R1,B,0.76,14,cp1,,12,60000,0,True,0.10453491204845568,0.009
TM-A76-M14-R2,C,0.76,14,cp2,,12,60000,0,True,0.10508815621168452,0.01
TM-A76-M14-R3,A,0.76,14,cp3,,12,60000,0,True,0.10364808789894882,0.011
TM-A76-M14-R4,B,0.76,14,cp4,,12,60000,0,True,0.10424459538635232,0.012
TM-A76-M14-R5,C,0.76,14,cp5,,12,60000,0,True,0.10448285389471496,0.013
TM-A76-M14-BAD,B,0.76,14,failed,,5,25000,1,False,0.09878346701390667,0.14
TM-A82-M06-R0,A,0.82,6,cp0,,12,60000,0,True,0.23136232589318684,0.008
TM-A82-M06-R1,B,0.82,6,cp1,,12,60000,0,True,0.23084497456057562,0.009
TM-A82-M06-R2,C,0.82,6,cp2,,12,60000,0,True,0.23184636499565034,0.01
TM-A82-M06-R3,A,0.82,6,cp3,,12,60000,0,True,0.2290507369138677,0.011
TM-A82-M06-R4,B,0.82,6,cp4,,12,60000,0,True,0.23226527637325278,0.012
TM-A82-M06-R5,C,0.82,6,cp5,,12,60000,0,True,0.23164183521169146,0.013
TM-A82-M08-R0,A,0.82,8,cp0,,12,60000,0,True,0.17101278404161308,0.008
TM-A82-M08-R1,B,0.82,8,cp1,,12,60000,0,True,0.17285112521718565,0.009
TM-A82-M08-R2,C,0.82,8,cp2,,12,60000,0,True,0.17107297274864214,0.01
TM-A82-M08-R3,A,0.82,8,cp3,,12,60000,0,True,0.17204411772594214,0.011
TM-A82-M08-R4,B,0.82,8,cp4,,12,60000,0,True,0.17053818163374834,0.012
TM-A82-M08-R5,C,0.82,8,cp5,,12,60000,0,True,0.17169616211899952,0.013
TM-A82-M08-DUP,C,0.82,8,restart,TM-A82-M08-R0,12,60000,0,True,0.17101278404161308,0.008
TM-A82-M10-R0,A,0.82,10,cp0,,12,60000,0,True,0.13433135278217603,0.008
TM-A82-M10-R1,B,0.82,10,cp1,,12,60000,0,True,0.13461057964048836,0.009
TM-A82-M10-R2,C,0.82,10,cp2,,12,60000,0,True,0.1350792356266829,0.01
TM-A82-M10-R3,A,0.82,10,cp3,,12,60000,0,True,0.1339195828860578,0.011
TM-A82-M10-R4,B,0.82,10,cp4,,12,60000,0,True,0.1347783975845186,0.012
TM-A82-M10-R5,C,0.82,10,cp5,,12,60000,0,True,0.1361766759649177,0.013
TM-A82-M12-R0,A,0.82,12,cp0,,12,60000,0,True,0.11112090723210942,0.008
TM-A82-M12-R1,B,0.82,12,cp1,,12,60000,0,True,0.1113258913900473,0.009
TM-A82-M12-R2,C,0.82,12,cp2,,12,60000,0,True,0.11094848255534817,0.01
TM-A82-M12-R3,A,0.82,12,cp3,,12,60000,0,True,0.11097987809058837,0.011
TM-A82-M12-R4,B,0.82,12,cp4,,12,60000,0,True,0.11109021716093037,0.012
TM-A82-M12-R5,C,0.82,12,cp5,,12,60000,0,True,0.1104562558110573,0.013
TM-A82-M14-R0,A,0.82,14,cp0,,12,60000,0,True,0.09414155290101894,0.008
TM-A82-M14-R1,B,0.82,14,cp1,,12,60000,0,True,0.09395205225667214,0.009
TM-A82-M14-R2,C,0.82,14,cp2,,12,60000,0,True,0.09393783289232724,0.01
TM-A82-M14-R3,A,0.82,14,cp3,,12,60000,0,True,0.0942171580422495,0.011
TM-A82-M14-R4,B,0.82,14,cp4,,12,60000,0,True,0.09459183101442185,0.012
TM-A82-M14-R5,C,0.82,14,cp5,,12,60000,0,True,0.09359238359926934,0.013
TM-A82-M14-BAD,B,0.82,14,failed,,5,25000,1,False,0.08922294998432537,0.14
TM-A88-M06-R0,A,0.88,6,cp0,,12,60000,0,True,0.21764611097591505,0.008
TM-A88-M06-R1,B,0.88,6,cp1,,12,60000,0,True,0.21789571918589198,0.009
TM-A88-M06-R2,C,0.88,6,cp2,,12,60000,0,True,0.21646758519685572,0.01
TM-A88-M06-R3,A,0.88,6,cp3,,12,60000,0,True,0.21832678589094265,0.011
TM-A88-M06-R4,B,0.88,6,cp4,,12,60000,0,True,0.21783994122132783,0.012
TM-A88-M06-R5,C,0.88,6,cp5,,12,60000,0,True,0.22020391117307123,0.013
TM-A88-M08-R0,A,0.88,8,cp0,,12,60000,0,True,0.16095938470842594,0.008
TM-A88-M08-R1,B,0.88,8,cp1,,12,60000,0,True,0.15971227103393734,0.009
TM-A88-M08-R2,C,0.88,8,cp2,,12,60000,0,True,0.15845558503036583,0.01
TM-A88-M08-R3,A,0.88,8,cp3,,12,60000,0,True,0.15839770392579539,0.011
TM-A88-M08-R4,B,0.88,8,cp4,,12,60000,0,True,0.16022515150814315,0.012
TM-A88-M08-R5,C,0.88,8,cp5,,12,60000,0,True,0.16045110654625194,0.013
TM-A88-M08-DUP,C,0.88,8,restart,TM-A88-M08-R0,12,60000,0,True,0.16095938470842594,0.008
TM-A88-M10-R0,A,0.88,10,cp0,,12,60000,0,True,0.12433753484413486,0.008
TM-A88-M10-R1,B,0.88,10,cp1,,12,60000,0,True,0.12495867917627852,0.009
TM-A88-M10-R2,C,0.88,10,cp2,,12,60000,0,True,0.12499240084790308,0.01
TM-A88-M10-R3,A,0.88,10,cp3,,12,60000,0,True,0.12430974375058229,0.011
TM-A88-M10-R4,B,0.88,10,cp4,,12,60000,0,True,0.124359437368709,0.012
TM-A88-M10-R5,C,0.88,10,cp5,,12,60000,0,True,0.12451572992586964,0.013
TM-A88-M12-R0,A,0.88,12,cp0,,12,60000,0,True,0.10234999693093419,0.008
TM-A88-M12-R1,B,0.88,12,cp1,,12,60000,0,True,0.10118900708784319,0.009
TM-A88-M12-R2,C,0.88,12,cp2,,12,60000,0,True,0.10132198379275523,0.01
TM-A88-M12-R3,A,0.88,12,cp3,,12,60000,0,True,0.10135619312155499,0.011
TM-A88-M12-R4,B,0.88,12,cp4,,12,60000,0,True,0.1015821782152477,0.012
TM-A88-M12-R5,C,0.88,12,cp5,,12,60000,0,True,0.10136983320634116,0.013
TM-A88-M14-R0,A,0.88,14,cp0,,12,60000,0,True,0.0851131342667391,0.008
TM-A88-M14-R1,B,0.88,14,cp1,,12,60000,0,True,0.0852401318369876,0.009
TM-A88-M14-R2,C,0.88,14,cp2,,12,60000,0,True,0.0851190709502796,0.01
TM-A88-M14-R3,A,0.88,14,cp3,,12,60000,0,True,0.08494612763420796,0.011
TM-A88-M14-R4,B,0.88,14,cp4,,12,60000,0,True,0.08546313841526036,0.012
TM-A88-M14-R5,C,0.88,14,cp5,,12,60000,0,True,0.08519195610499798,0.013
TM-A88-M14-BAD,B,0.88,14,failed,,5,25000,1,False,0.08134971604073847,0.14
