sample_id,campaign,alpha,size,n_states,n_converged,maximum_residual,orthogonality_defect,compact_states,mean_log_ipr2,se_log_ipr2,mean_gap_ratio,se_gap_ratio,median_twist_shift,se_twist_shift,twist_partner_present
SP-A64-L05-R2,C,0.64,5,24,24,3.442975315154034e-09,2.8230254955087776e-08,1,-1.569678028866628,0.024,0.41808962532318794,0.012,0.00013170216037675838,9.28e-06,True
SP-A64-L05-R3,A,0.64,5,24,24,3.7094393720817152e-09,2.8558379145449588e-08,0,-1.6492673399374613,0.026,0.4220325393619649,0.013,0.0001223620079656825,9.28e-06,True
SP-A64-L06-R0,A,0.64,6,24,24,3.0396223029417084e-09,3.5392186022549986e-08,1,-1.7895771172518555,0.02,0.4238059960162782,0.01,9.140210010675544e-05,7.818394944384199e-06,True
SP-A64-L06-R1,B,0.64,6,24,24,3.4933560705148034e-09,3.460426290037028e-08,0,-1.8344794881639193,0.022,0.42533978881617646,0.011,0.00010280378543541333,7.818394944384199e-06,True
SP-A64-L06-R2,C,0.64,6,24,24,2.067773499451155e-09,2.64138254261058e-08,1,-1.8162202241563343,0.024,0.41856392421047445,0.012,9.282184597736547e-05,7.818394944384199e-06,True
SP-A64-L06-R3,A,0.64,6,24,24,3.8558914315250485e-09,2.5179426504450753e-08,0,-1.829818939335972,0.026,0.41148954656527154,0.013,0.0001004642268632759,7.818394944384199e-06,True
SP-A64-L06-BAD,B,0.64,6,24,13,0.0003,2e-05,0,-1.633429847997178,0.1,0.394,0.03,9.772993680480247e-05,1.9545987360960495e-05,True
SP-A64-L07-R0,A,0.64,7,24,24,2.98995972569149e-09,3.9032876702475694e-08,1,-2.034702275930931,0.02,0.41457748308402265,0.01,9.28609230422937e-05,6.763751179593786e-06,True
SP-A64-L07-R1,B,0.64,7,24,24,3.859918810921837e-09,2.703232166874763e-08,0,-2.052474103039612,0.022,0.4196635091480299,0.011,8.94631156471549e-05,6.763751179593786e-06,True
SP-A64-L07-R2,C,0.64,7,24,24,2.584094228157958e-09,2.516068661175777e-08,1,-1.9842245540198638,0.024,0.4138207208525133,0.012,8.856405382149555e-05,6.763751179593786e-06,True
SP-A64-L07-R3,A,0.64,7,24,24,2.3077875079428087e-09,2.9307310511684267e-08,0,-2.0280922837278026,0.026,0.4235687269041657,0.013,7.407034627525642e-05,6.763751179593786e-06,True
SP-A64-L07-MISS,C,0.64,7,24,24,2e-09,2e-08,0,-1.9980322693032408,0.02,0.414,0.01,8.454688974492232e-05,6.763751179593786e-06,False
SP-A68-L05-R0,A,0.68,5,24,24,3.758391859103832e-09,3.9686259877881744e-08,1,-2.12552882311605,0.02,0.43452622016357056,0.01,0.0001985242697251685,1.44e-05,True
SP-A68-L05-R1,B,0.68,5,24,24,2.536292024509094e-09,2.288777371522728e-08,0,-2.187810671927626,0.022,0.42855314423793334,0.011,0.00018594893335007834,1.44e-05,True
SP-A68-L05-R2,C,0.68,5,24,24,2.1058394175337425e-09,3.008236261848129e-08,1,-2.159328831671286,0.024,0.428761323846509,0.012,0.00018080590509950302,1.44e-05,True
SP-A68-L05-R3,A,0.68,5,24,24,2.316398540867876e-09,2.7588227570364982e-08,0,-2.0477312884759775,0.026,0.4383157754305534,0.013,0.00020437756791639173,1.44e-05,True
SP-A68-L06-R0,A,0.68,6,24,24,3.3493575178422016e-09,2.4467637691253296e-08,1,-2.282885610264335,0.02,0.4364796272242057,0.01,0.00016238260039713536,1.2674639621271108e-05,True
SP-A68-L06-R1,B,0.68,6,24,24,2.5410442642771004e-09,2.7287302762051937e-08,0,-2.2789579401724716,0.022,0.4289816858941412,0.011,0.00019628143401016106,1.2674639621271108e-05,True
SP-A68-L06-R2,C,0.68,6,24,24,3.823531739381283e-09,2.5166440244439014e-08,1,-2.2983717917383757,0.024,0.4364403557125238,0.012,0.00014800912919892573,1.2674639621271108e-05,True
SP-A68-L06-R3,A,0.68,6,24,24,3.979572430697502e-09,2.1971095605214526e-08,0,-2.351856130973152,0.026,0.4254701396473036,0.013,0.00015382565229356046,1.2674639621271108e-05,True
SP-A68-L06-BAD,B,0.68,6,24,13,0.0003,2e-05,0,-2.159012625637408,0.1,0.4126666666666667,0.03,0.00015843299526588885,3.168659905317777e-05,True
SP-A68-L07-R0,A,0.68,7,24,24,3.2437038605801875e-09,3.808961188000627e-08,1,-2.5000690722168066,0.02,0.42490686516433224,0.01,0.0001621209070350004,1.1378181760662787e-05,True
SP-A68-L07-R1,B,0.68,7,24,24,3.3106229103621734e-09,2.3861989696102905e-08,0,-2.5573926372098166,0.022,0.4376560186182025,0.011,0.00013877204951135555,1.1378181760662787e-05,True
SP-A68-L07-R2,C,0.68,7,24,24,3.313696733433119e-09,2.3325491995856083e-08,1,-2.545188612289815,0.024,0.4219421317714174,0.012,0.00013920972476689993,1.1378181760662787e-05,True
SP-A68-L07-R3,A,0.68,7,24,24,3.9543779749582716e-09,2.6850211904342353e-08,0,-2.5360715621504206,0.026,0.44078380011214185,0.013,0.00014754210666671487,1.1378181760662787e-05,True
SP-A68-L07-MISS,C,0.68,7,24,24,2e-09,2e-08,0,-2.5688325796927995,0.02,0.4326666666666667,0.01,0.00014222727200828483,1.1378181760662787e-05,False
SP-A72-L05-R0,A,0.72,5,24,24,3.094860084103216e-09,2.1378970210491e-08,1,-2.619403118089492,0.02,0.44399533114950274,0.01,0.00024738383310600194,1.952e-05,True
SP-A72-L05-R1,B,0.72,5,24,24,3.538815656752084e-09,2.5063457271136852e-08,0,-2.571453600174012,0.022,0.457336517498076,0.011,0.00026718995786402495,1.952e-05,True
SP-A72-L05-R2,C,0.72,5,24,24,2.63889684558598e-09,2.6197085896974973e-08,1,-2.521508293871305,0.024,0.45893521366612505,0.012,0.0002288351591517999,1.952e-05,True
SP-A72-L05-R3,A,0.72,5,24,24,2.2647633796004946e-09,3.10132619187021e-08,0,-2.563282695868317,0.026,0.44657153610619343,0.013,0.0002701255816988848,1.952e-05,True
SP-A72-L06-R0,A,0.72,6,24,24,3.403678228479298e-09,3.207003786615549e-08,1,-2.8362183222022512,0.02,0.44422776401260866,0.01,0.0002501508612378193,1.7949668824216754e-05,True
SP-A72-L06-R1,B,0.72,6,24,24,3.5440797507871206e-09,2.5259482183139696e-08,0,-2.854997497310232,0.022,0.44667017525734304,0.011,0.00023662587010267843,1.7949668824216754e-05,True
SP-A72-L06-R2,C,0.72,6,24,24,2.702530740239863e-09,3.921427894579515e-08,1,-2.837261636255583,0.024,0.45572097008886914,0.012,0.0002630934177880392,1.7949668824216754e-05,True
SP-A72-L06-R3,A,0.72,6,24,24,3.520931191790812e-09,2.1088942556039615e-08,0,-2.814091708513076,0.026,0.44487544834483383,0.013,0.00021031168663775672,1.7949668824216754e-05,True
SP-A72-L06-BAD,B,0.72,6,24,13,0.0003,2e-05,0,-2.6845954032776356,0.1,0.43133333333333335,0.03,0.00022437086030270944,4.487417206054189e-05,True
SP-A72-L07-R0,A,0.72,7,24,24,3.8823254650424564e-09,3.460850991756075e-08,1,-3.236503468985088,0.02,0.4531672096357774,0.01,0.0001862437361888671,1.67209487946688e-05,True
SP-A72-L07-R1,B,0.72,7,24,24,3.172249109577628e-09,2.0235479973149168e-08,0,-3.131681390930609,0.022,0.4486222768751641,0.011,0.0002348977485549215,1.67209487946688e-05,True
SP-A72-L07-R2,C,0.72,7,24,24,3.2185296924560433e-09,2.3934614080454288e-08,1,-3.1715311099952337,0.024,0.4487417006727939,0.012,0.00018266891302982992,1.67209487946688e-05,True
SP-A72-L07-R3,A,0.72,7,24,24,3.785966099596068e-09,3.530450929318612e-08,0,-3.084126217039221,0.026,0.4562772188381172,0.013,0.00021774114845900534,1.67209487946688e-05,True
SP-A72-L07-MISS,C,0.72,7,24,24,2e-09,2e-08,0,-3.139632890082357,0.02,0.45133333333333336,0.01,0.00020901185993336,1.67209487946688e-05,False
SP-A76-L05-R0,A,0.76,5,24,24,3.114122050231378e-09,2.4246656258372622e-08,1,-3.0555820712817234,0.02,0.4740812266514592,0.01,0.00034678647347980394,2.464e-05,True
SP-A76-L05-R1,B,0.76,5,24,24,2.019112781995319e-09,3.414624210516302e-08,0,-3.0026212597396906,0.022,0.47574445362692236,0.011,0.0003393976471030941,2.464e-05,True
SP-A76-L05-R2,C,0.76,5,24,24,2.9363634973875865e-09,2.7459850711199803e-08,1,-3.107562825852257,0.024,0.4602985364374425,0.012,0.0003020051940505102,2.464e-05,True
SP-A76-L05-R3,A,0.76,5,24,24,2.563381248128559e-09,3.011513927609023e-08,0,-3.035720470115568,0.026,0.47492413740620265,0.013,0.00032576089737362655,2.464e-05,True
SP-A76-L06-R0,A,0.76,6,24,24,3.9304102577016615e-09,2.7194731257101942e-08,1,-3.415334464522366,0.02,0.46086897429942886,0.01,0.00026075380375078946,2.3671230224470128e-05,True
SP-A76-L06-R1,B,0.76,6,24,24,3.3839602477898214e-09,2.430571498680865e-08,0,-3.442719348059782,0.022,0.47108961870985044,0.011,0.00031208212475673043,2.3671230224470128e-05,True
SP-A76-L06-R2,C,0.76,6,24,24,3.742624535523245e-09,3.253027163564186e-08,1,-3.4081929770675727,0.024,0.45250327102863436,0.012,0.0003030856621668904,2.3671230224470128e-05,True
SP-A76-L06-R3,A,0.76,6,24,24,2.9046377908409477e-09,3.4424719021197005e-08,0,-3.3604868304523574,0.026,0.4724736239275971,0.013,0.0002837000483323846,2.3671230224470128e-05,True
SP-A76-L06-BAD,B,0.76,6,24,13,0.0003,2e-05,0,-3.210178180917866,0.1,0.45,0.03,0.0002958903778058766,5.917807556117532e-05,True
SP-A76-L07-R0,A,0.76,7,24,24,3.324460714994704e-09,2.62236387989118e-08,1,-3.7735019737971944,0.02,0.4559452556339902,0.01,0.0002486837697969095,2.288192383349755e-05,True
SP-A76-L07-R1,B,0.76,7,24,24,2.0815568125629605e-09,2.7593853516350883e-08,0,-3.651363394386615,0.022,0.47421697961029197,0.011,0.00028971245701947865,2.288192383349755e-05,True
SP-A76-L07-R2,C,0.76,7,24,24,3.448368489537295e-09,3.681666897111635e-08,1,-3.7143632777889475,0.024,0.46990129292728205,0.012,0.00027491068213599115,2.288192383349755e-05,True
SP-A76-L07-R3,A,0.76,7,24,24,2.25005972011351e-09,3.6259031471341146e-08,0,-3.693880739737607,0.026,0.47193832636981303,0.013,0.00028634563074266846,2.288192383349755e-05,True
SP-A76-L07-MISS,C,0.76,7,24,24,2e-09,2e-08,0,-3.7104332004719165,0.02,0.47,0.01,0.00028602404791871935,2.288192383349755e-05,False
SP-A82-L05-R0,A,0.82,5,24,24,2.4792165634306472e-09,2.0696359942686943e-08,1,-3.7257875727594483,0.02,0.49940354200107995,0.01,0.0003667671708968107,3.232e-05,True
SP-A82-L05-R1,B,0.82,5,24,24,3.5589011063116244e-09,3.477642844949637e-08,0,-3.687798987291922,0.022,0.4908844003289487,0.011,0.0004037833170363861,3.232e-05,True
SP-A82-L05-R2,C,0.82,5,24,24,2.8422517984210648e-09,2.587591429678799e-08,1,-3.789233498763504,0.024,0.5038135460616032,0.012,0.0003921462401927659,3.232e-05,True
SP-A82-L05-R3,A,0.82,5,24,24,2.091041256642014e-09,3.257259346773731e-08,0,-3.7240287902816074,0.026,0.5026558150641173,0.013,0.0004179083186608336,3.232e-05,True
SP-A82-L06-R0,A,0.82,6,24,24,3.35037579430742e-09,3.3034793609218946e-08,1,-4.202791415169889,0.02,0.49034343361624516,0.01,0.00042094757464633477,3.315558740515102e-05,True
SP-A82-L06-R1,B,0.82,6,24,24,3.0735021857723864e-09,3.392708843393777e-08,0,-4.160516644027321,0.022,0.5079600938227499,0.011,0.00043608573121392097,3.315558740515102e-05,True
SP-A82-L06-R2,C,0.82,6,24,24,2.6048883349567796e-09,2.1875132717301674e-08,1,-4.266109772875596,0.024,0.48766581458071284,0.012,0.00046940774355053557,3.315558740515102e-05,True
SP-A82-L06-R3,A,0.82,6,24,24,3.40302825263971e-09,3.508633189190464e-08,0,-4.282113230548181,0.026,0.5087451274839595,0.013,0.0003917773978804163,3.315558740515102e-05,True
SP-A82-L06-BAD,B,0.82,6,24,13,0.0003,2e-05,0,-3.998552347378209,0.1,0.478,0.03,0.0004144448425643877,8.288896851287755e-05,True
SP-A82-L07-R0,A,0.82,7,24,24,3.8702139728310316e-09,3.104301733893351e-08,1,-4.452074328186718,0.02,0.5000395283456747,0.01,0.0004124383345798982,3.387889813854286e-05,True
SP-A82-L07-R1,B,0.82,7,24,24,2.121744010516019e-09,3.8979342794555694e-08,0,-4.592232816885995,0.022,0.5123821191057395,0.011,0.0004291348217297979,3.387889813854286e-05,True
SP-A82-L07-R2,C,0.82,7,24,24,3.6385434997628014e-09,2.74123907470367e-08,1,-4.603647713315222,0.024,0.49890003293569457,0.012,0.0005024198512045013,3.387889813854286e-05,True
SP-A82-L07-R3,A,0.82,7,24,24,3.6901731957267867e-09,3.756807693262152e-08,0,-4.542534690072301,0.026,0.49852952892784985,0.013,0.00038887103166638875,3.387889813854286e-05,True
SP-A82-L07-MISS,C,0.82,7,24,24,2e-09,2e-08,0,-4.566633666056253,0.02,0.498,0.01,0.0004234862267317857,3.387889813854286e-05,False
SP-A88-L05-R0,A,0.88,5,24,24,2.9504765470628637e-09,2.80057745228112e-08,1,-4.5365592780124855,0.02,0.5373926739778838,0.01,0.0005264557364132108,4e-05,True
SP-A88-L05-R1,B,0.88,5,24,24,3.2883213090122007e-09,3.4425211778393834e-08,0,-4.4624074637043005,0.022,0.5120482484745209,0.011,0.0005667145320138539,4e-05,True
SP-A88-L05-R2,C,0.88,5,24,24,3.466501681395519e-09,3.557106289883754e-08,1,-4.447998786171107,0.024,0.5422515799048464,0.012,0.0005190798623245096,4e-05,True
SP-A88-L05-R3,A,0.88,5,24,24,2.720197565563448e-09,3.1764590789764813e-08,0,-4.491028467809811,0.026,0.526107855256404,0.013,0.00046074410830637577,4e-05,True
SP-A88-L06-R0,A,0.88,6,24,24,3.7425773624094216e-09,2.485229505124764e-08,1,-4.981222647900221,0.02,0.5265281059996756,0.01,0.0005547298944080288,4.381780460041329e-05,True
SP-A88-L06-R1,B,0.88,6,24,24,3.209245003907522e-09,3.735030658605106e-08,0,-5.024868134936165,0.022,0.5262158869934455,0.011,0.0005770047345172873,4.381780460041329e-05,True
SP-A88-L06-R2,C,0.88,6,24,24,3.167587171135818e-09,2.5549109078185152e-08,1,-4.990353456175434,0.024,0.5180712455425595,0.012,0.0005754093668627055,4.381780460041329e-05,True
SP-A88-L06-R3,A,0.88,6,24,24,3.539525013501912e-09,2.137078074972579e-08,0,-4.907485656064966,0.026,0.5329657414821141,0.013,0.0005354865629447643,4.381780460041329e-05,True
SP-A88-L06-BAD,B,0.88,6,24,13,0.0003,2e-05,0,-4.786926513838554,0.1,0.506,0.03,0.0005477225575051661,0.00010954451150103323,True
SP-A88-L07-R0,A,0.88,7,24,24,3.840020584727839e-09,3.064254864970986e-08,1,-5.3658881052512175,0.02,0.5301551879623941,0.01,0.0006607774530131073,4.7328638264796936e-05,True
SP-A88-L07-R1,B,0.88,7,24,24,3.188738975208489e-09,3.091557113383593e-08,0,-5.393688793831879,0.022,0.5234990479876798,0.011,0.000569164702286876,4.7328638264796936e-05,True
SP-A88-L07-R2,C,0.88,7,24,24,3.918499634310166e-09,2.810777921008023e-08,1,-5.412285606631394,0.024,0.5177980710521616,0.012,0.0005508926337864366,4.7328638264796936e-05,True
SP-A88-L07-R3,A,0.88,7,24,24,2.343389660495157e-09,3.130210729371981e-08,0,-5.436669242138156,0.026,0.508589783559027,0.013,0.0005087593186526961,4.7328638264796936e-05,True
SP-A88-L07-MISS,C,0.88,7,24,24,2e-09,2e-08,0,-5.422834131640592,0.02,0.526,0.01,0.0005916079783099616,4.7328638264796936e-05,False
